run,phase,sample,query,disabled_ms,reused_ms
initial,sequential,1,count,34.327984,24.788857
initial,sequential,2,group,40.200949,29.256105
initial,sequential,3,filter,43.239832,25.88892
initial,sequential,4,count,36.148071,23.314953
initial,sequential,5,group,40.820122,28.563976
initial,sequential,6,filter,40.299892,29.561043
initial,sequential,7,count,36.196232,26.995897
initial,sequential,8,group,44.717073,29.902697
initial,sequential,9,filter,40.143967,28.674126
initial,sequential,10,count,33.716917,25.423765
initial,sequential,11,group,40.452003,28.619051
initial,sequential,12,filter,39.806128,27.010202
initial,sequential,13,count,34.614086,34.382105
initial,sequential,14,group,37.636995,28.346062
initial,sequential,15,filter,41.558981,24.297953
initial,sequential,16,count,34.558058,22.526979
initial,sequential,17,group,41.101933,26.697874
initial,sequential,18,filter,39.831161,25.975943
initial,sequential,19,count,36.74078,22.390127
initial,sequential,20,group,40.899992,28.012037
initial,sequential,21,filter,37.258148,23.176193
initial,sequential,22,count,31.122923,21.421909
initial,sequential,23,group,43.025255,26.345968
initial,sequential,24,filter,47.523975,23.967028
initial,sequential,25,count,36.653996,23.92602
initial,sequential,26,group,37.081003,25.30098
initial,sequential,27,filter,35.699844,25.907278
initial,sequential,28,count,33.426762,21.800995
initial,sequential,29,group,36.695957,25.869131
initial,sequential,30,filter,36.139011,25.627851
initial,sequential,31,count,32.363653,23.988008
initial,sequential,32,group,37.721157,26.199818
initial,sequential,33,filter,36.074638,25.307894
initial,sequential,34,count,32.642126,24.289846
initial,sequential,35,group,36.737919,28.755903
initial,sequential,36,filter,34.471989,25.260925
initial,sequential,37,count,32.896996,21.378994
initial,sequential,38,group,39.280891,27.335882
initial,sequential,39,filter,35.595894,26.895761
initial,sequential,40,count,33.262014,21.153927
initial,sequential,41,group,37.923098,27.314186
initial,sequential,42,filter,35.712004,24.829865
initial,sequential,43,count,34.975052,22.451878
initial,sequential,44,group,36.609173,25.104284
initial,sequential,45,filter,35.650969,24.97673
initial,sequential,46,count,33.600807,22.046089
initial,sequential,47,group,36.993027,26.698112
initial,sequential,48,filter,35.270929,24.069071
initial,sequential,49,count,31.47316,21.613121
initial,sequential,50,group,37.117958,27.812958
initial,sequential,51,filter,34.816027,24.536848
initial,sequential,52,count,31.484127,21.143913
initial,sequential,53,group,35.136938,26.319027
initial,sequential,54,filter,34.962893,24.551868
initial,sequential,55,count,30.364037,21.38114
initial,sequential,56,group,37.461996,25.431156
initial,sequential,57,filter,36.932945,25.779009
initial,sequential,58,count,32.876968,21.300077
initial,sequential,59,group,36.187887,23.839951
initial,sequential,60,filter,34.882069,23.954868
initial,batch_of_four,1,count+group+filter+group,64.830065,34.458876
initial,batch_of_four,2,count+group+filter+group,73.48299,33.238888
initial,batch_of_four,3,count+group+filter+group,73.911667,34.158945
initial,batch_of_four,4,count+group+filter+group,71.766853,38.318157
initial,batch_of_four,5,count+group+filter+group,76.376915,34.834862
initial,batch_of_four,6,count+group+filter+group,76.496124,35.055876
initial,batch_of_four,7,count+group+filter+group,72.377682,34.568787
initial,batch_of_four,8,count+group+filter+group,74.240208,33.835173
initial,batch_of_four,9,count+group+filter+group,72.412014,33.791065
initial,batch_of_four,10,count+group+filter+group,73.510885,33.80084
initial,batch_of_four,11,count+group+filter+group,70.286989,33.003092
initial,batch_of_four,12,count+group+filter+group,78.789711,33.511162
initial,batch_of_four,13,count+group+filter+group,71.69795,42.521
initial,batch_of_four,14,count+group+filter+group,75.816154,38.367987
initial,batch_of_four,15,count+group+filter+group,77.099085,34.766197
initial,batch_of_four,16,count+group+filter+group,74.298859,36.400318
initial,batch_of_four,17,count+group+filter+group,70.981026,32.731295
initial,batch_of_four,18,count+group+filter+group,67.561865,33.29277
initial,batch_of_four,19,count+group+filter+group,75.27113,34.557104
initial,batch_of_four,20,count+group+filter+group,74.704885,33.744812
fresh_metabase,sequential,1,count,44.041333,37.346625
fresh_metabase,sequential,2,filter,65.246584,38.133208
fresh_metabase,sequential,3,group,56.140209,38.396667
fresh_metabase,sequential,4,count,47.035833,39.194542
fresh_metabase,sequential,5,filter,58.317416,37.022041
fresh_metabase,sequential,6,group,53.133667,34.49325
fresh_metabase,sequential,7,count,42.9115,30.485042
fresh_metabase,sequential,8,filter,44.519042,36.233917
fresh_metabase,sequential,9,group,45.635666,37.124167
fresh_metabase,sequential,10,count,42.93325,29.063042
fresh_metabase,sequential,11,filter,45.067458,34.163167
fresh_metabase,sequential,12,group,44.5275,32.452792
fresh_metabase,sequential,13,count,37.458292,29.216584
fresh_metabase,sequential,14,filter,44.2995,32.00125
fresh_metabase,sequential,15,group,48.273875,34.490667
fresh_metabase,sequential,16,count,46.98625,28.600208
fresh_metabase,sequential,17,filter,44.194709,29.619125
fresh_metabase,sequential,18,group,53.654542,32.861958
fresh_metabase,sequential,19,count,45.332625,26.4635
fresh_metabase,sequential,20,filter,44.461417,30.739458
fresh_metabase,sequential,21,group,43.993708,31.513875
fresh_metabase,sequential,22,count,36.589458,28.849875
fresh_metabase,sequential,23,filter,43.621958,30.144917
fresh_metabase,sequential,24,group,45.732625,29.113959
fresh_metabase,sequential,25,count,40.30325,25.430458
fresh_metabase,sequential,26,filter,45.676833,30.240083
fresh_metabase,sequential,27,group,46.067042,32.628583
fresh_metabase,sequential,28,count,37.965333,28.177417
fresh_metabase,sequential,29,filter,40.519584,31.79375
fresh_metabase,sequential,30,group,42.003333,32.959292
fresh_metabase,sequential,31,count,36.910875,26.666667
fresh_metabase,sequential,32,filter,46.016458,26.663125
fresh_metabase,sequential,33,group,44.1385,28.155125
fresh_metabase,sequential,34,count,41.055083,23.724583
fresh_metabase,sequential,35,filter,43.045875,30.517708
fresh_metabase,sequential,36,group,44.185292,31.76125
fresh_metabase,sequential,37,count,38.499,28.106542
fresh_metabase,sequential,38,filter,39.062542,29.558833
fresh_metabase,sequential,39,group,41.790916,32.51775
fresh_metabase,sequential,40,count,37.144291,25.931666
fresh_metabase,sequential,41,filter,43.452167,28.56
fresh_metabase,sequential,42,group,47.3635,28.263083
fresh_metabase,sequential,43,count,39.862791,22.836292
fresh_metabase,sequential,44,filter,40.431042,26.582166
fresh_metabase,sequential,45,group,39.178125,27.415083
fresh_metabase,sequential,46,count,37.047792,24.918666
fresh_metabase,sequential,47,filter,45.580333,27.926625
fresh_metabase,sequential,48,group,45.858,30.486833
fresh_metabase,sequential,49,count,38.738625,22.966708
fresh_metabase,sequential,50,filter,40.148208,26.112083
fresh_metabase,sequential,51,group,38.96875,26.660416
