round,workload,size,mode,samples,median_ms,p95_ms
persisted-L,count,L,before,20,47.5962084999999,60.84008300000043
persisted-L,count,L,after_off,20,46.60897900000016,59.4785420000008
persisted-L,count,L,after_reuse,20,31.383041500000708,40.211374999998384
persisted-L,group,L,before,20,46.711833500000296,74.47612500000034
persisted-L,group,L,after_off,20,47.89506250000031,70.27920899999884
persisted-L,group,L,after_reuse,20,31.15654199999973,34.99204200000072
persisted-L,sum_square,L,before,20,51.6353340000002,61.40054199999945
persisted-L,sum_square,L,after_off,20,52.1800834999997,66.65579199999883
persisted-L,sum_square,L,after_reuse,20,35.33506249999974,48.64745799999959
persisted-L,mixed_sequential,L,before,60,49.21512549999907,72.92387500000075
persisted-L,mixed_sequential,L,after_off,60,48.77689599999968,66.65579199999883
persisted-L,mixed_sequential,L,after_reuse,60,32.43364599999943,47.602915999998885
persisted-L,batch4,L,before,20,121.24291649999996,158.55229199999954
persisted-L,batch4,L,after_off,20,101.81500049999937,127.34600000000285
persisted-L,batch4,L,after_reuse,20,44.67483300000019,49.7228750000005
persisted-M,count,M,before,20,45.7567085000008,52.10983300000027
persisted-M,count,M,after_off,20,45.164104499999524,52.589625000001305
persisted-M,count,M,after_reuse,20,28.266666500000426,29.95479199999984
persisted-M,group,M,before,20,44.042520999999724,48.3305000000005
persisted-M,group,M,after_off,20,44.21068749999968,55.73524999999968
persisted-M,group,M,after_reuse,20,28.97422950000017,31.253790999999254
persisted-M,sum_square,M,before,20,50.06237499999955,56.6778750000001
persisted-M,sum_square,M,after_off,20,48.529291499999516,60.84800000000001
persisted-M,sum_square,M,after_reuse,20,35.666916999999465,40.542583000000576
persisted-M,mixed_sequential,M,before,60,46.4776665000004,55.979666000000705
persisted-M,mixed_sequential,M,after_off,60,46.74043750000001,56.73841599999996
persisted-M,mixed_sequential,M,after_reuse,60,29.393020499999256,38.51783300000022
persisted-M,batch4,M,before,20,110.89029150000052,127.6768749999988
persisted-M,batch4,M,after_off,20,119.3500830000005,129.2321669999996
persisted-M,batch4,M,after_reuse,20,44.05764599999973,62.78808300000094
persisted-S,count,S,before,20,47.113604000000194,51.84795799999975
persisted-S,count,S,after_off,20,45.49637499999992,49.298957999999615
persisted-S,count,S,after_reuse,20,28.729520500000216,30.77004200000033
persisted-S,group,S,before,20,43.5033124999995,53.854082999999164
persisted-S,group,S,after_off,20,43.25677100000025,51.127583999999615
persisted-S,group,S,after_reuse,20,28.673541500000344,37.63379199999939
persisted-S,sum_square,S,before,20,55.80922900000029,60.18341700000107
persisted-S,sum_square,S,after_off,20,55.278375000000324,66.75912499999993
persisted-S,sum_square,S,after_reuse,20,42.068228999999846,46.61204099999949
persisted-S,mixed_sequential,S,before,60,47.454270500000284,59.013082999999966
persisted-S,mixed_sequential,S,after_off,60,46.74400000000034,62.98487499999972
persisted-S,mixed_sequential,S,after_reuse,60,29.23666649999923,43.55687500000016
persisted-S,batch4,S,before,20,125.34581250000087,149.4814170000005
persisted-S,batch4,S,after_off,20,128.45077100000069,140.88862500000232
persisted-S,batch4,S,after_reuse,20,51.118291499999025,57.476334000000406
persisted-XL,count,XL,before,20,42.6480834999996,49.860125000000366
persisted-XL,count,XL,after_off,20,41.69237499999934,46.81937500000011
persisted-XL,count,XL,after_reuse,20,27.713374999999818,32.434916999999786
persisted-XL,group,XL,before,20,44.567749999999684,48.454082999999315
persisted-XL,group,XL,after_off,20,42.83129149999976,48.5081669999996
persisted-XL,group,XL,after_reuse,20,28.86554199999969,32.32862499999989
persisted-XL,sum_square,XL,before,20,47.626166499999734,59.069499999999664
persisted-XL,sum_square,XL,after_off,20,46.12999999999978,53.471625000000245
persisted-XL,sum_square,XL,after_reuse,20,34.107687500000594,42.71724999999904
persisted-XL,mixed_sequential,XL,before,60,45.946791499999584,55.69833400000057
persisted-XL,mixed_sequential,XL,after_off,60,43.869728500000704,51.06687500000007
persisted-XL,mixed_sequential,XL,after_reuse,60,29.696458500000134,37.78425000000141
persisted-XL,batch4,XL,before,20,118.09587499999895,138.87666700000167
persisted-XL,batch4,XL,after_off,20,116.41002100000009,144.22174999999982
persisted-XL,batch4,XL,after_reuse,20,44.21652050000091,52.23120800000025
persisted-XS,count,XS,before,20,45.810229000000646,54.12412500000041
persisted-XS,count,XS,after_off,20,46.36085399999956,54.296208000000235
persisted-XS,count,XS,after_reuse,20,29.128854000000537,35.69679199999953
